DATE,GINI
1/1/1947,0.376
1/1/1948,0.371
1/1/1949,0.378
1/1/1950,0.379
1/1/1951,0.363
1/1/1952,0.368
1/1/1953,0.359
1/1/1954,0.371
1/1/1955,0.363
1/1/1956,0.358
1/1/1957,0.351
1/1/1958,0.354
1/1/1959,0.361
1/1/1960,0.364
1/1/1961,0.374
1/1/1962,0.362
1/1/1963,0.362
1/1/1964,0.361
1/1/1965,0.356
1/1/1966,0.349
1/1/1967,0.358
1/1/1968,0.348
1/1/1969,0.349
1/1/1970,0.353
1/1/1971,0.355
1/1/1972,0.359
1/1/1973,0.356
1/1/1974,0.355
1/1/1975,0.357
1/1/1976,0.358
1/1/1977,0.363
1/1/1978,0.363
1/1/1979,0.365
1/1/1980,0.365
1/1/1981,0.369
1/1/1982,0.38
1/1/1983,0.382
1/1/1984,0.383
1/1/1985,0.389
1/1/1986,0.392
1/1/1987,0.393
1/1/1988,0.395
1/1/1989,0.401
1/1/1990,0.396
1/1/1991,0.397
1/1/1992,0.404
1/1/1993,0.429
1/1/1994,0.426
1/1/1995,0.421
1/1/1996,0.425
1/1/1997,0.429
1/1/1998,0.43
1/1/1999,0.429
1/1/2000,0.433
1/1/2001,0.435
1/1/2002,0.434
1/1/2003,0.436
1/1/2004,0.438
1/1/2005,0.44
1/1/2006,0.444
1/1/2007,0.432
1/1/2008,0.438
1/1/2009,0.443
1/1/2010,0.44
1/1/2011,0.45
1/1/2012,0.451
1/1/2013,0.455
1/1/2014,0.452
1/1/2015,0.448
1/1/2016,0.452
1/1/2017,0.458
1/1/2018,0.452
1/1/2019,0.454
1/1/2020,0.458
