DATE,Top 1%,Bottom 50%,50th - 90th,90th-99th
7/1/1989,23.6,3.7,35.5,37.2
10/1/1989,23.6,3.5,35.6,37.3
1/1/1990,23.5,3.7,35.8,37
4/1/1990,23.7,3.5,35.8,37
7/1/1990,23.2,3.7,36.1,37
10/1/1990,23.5,3.6,36,36.9
1/1/1991,23.8,3.7,35.9,36.6
4/1/1991,23.8,3.8,36,36.4
7/1/1991,23.9,4,36.1,36
10/1/1991,24.4,4,35.8,35.8
1/1/1992,24.2,4,36,35.8
4/1/1992,24.2,4,36.3,35.5
7/1/1992,24.1,4.3,36.2,35.4
10/1/1992,24.6,4.1,36.1,35.2
1/1/1993,25.2,3.8,36,35
4/1/1993,25.4,3.9,36,34.7
7/1/1993,25.7,3.9,35.9,34.5
10/1/1993,26.1,3.8,35.8,34.3
1/1/1994,26.4,3.6,35.7,34.3
4/1/1994,26.7,3.6,35.7,34
7/1/1994,26.9,3.6,35.5,34
10/1/1994,27.4,3.4,35.4,33.8
1/1/1995,27.9,3.5,35.2,33.4
4/1/1995,28,3.7,34.9,33.4
7/1/1995,28.3,3.8,34.6,33.3
10/1/1995,28.5,3.7,34.5,33.3
1/1/1996,28.4,3.7,34.5,33.4
4/1/1996,28.3,3.6,34.7,33.4
7/1/1996,28.2,3.6,34.9,33.3
10/1/1996,28.4,3.4,34.8,33.4
1/1/1997,28,3.5,34.7,33.8
4/1/1997,28.3,3.5,34.4,33.8
7/1/1997,28.4,3.5,34.2,33.9
10/1/1997,28.3,3.4,34.1,34.2
1/1/1998,28.6,3.5,33.6,34.3
4/1/1998,28.6,3.4,33.8,34.2
7/1/1998,27.9,3.6,34.2,34.3
10/1/1998,28.1,3.4,33.9,34.6
1/1/1999,27.9,3.5,34,34.6
4/1/1999,28.1,3.3,33.8,34.8
7/1/1999,27.8,3.4,34.1,34.7
10/1/1999,28.3,3.3,33.6,34.8
1/1/2000,28.6,3.3,33.3,34.8
4/1/2000,28.1,3.3,33.7,34.9
7/1/2000,27.8,3.4,33.8,35
10/1/2000,27.2,3.3,34.4,35.1
1/1/2001,26.6,3.2,35.2,35
4/1/2001,26.6,3.1,35,35.3
7/1/2001,25.9,3.1,35.7,35.3
10/1/2001,26,2.9,35.7,35.4
1/1/2002,26.1,2.9,35.7,35.3
4/1/2002,26.1,2.8,35.7,35.4
7/1/2002,25.4,2.8,36.3,35.5
10/1/2002,25.1,2.9,36.6,35.4
1/1/2003,25,2.7,36.6,35.7
4/1/2003,25.8,2.5,36.1,35.6
7/1/2003,26.1,2.5,35.9,35.5
10/1/2003,26.5,2.6,35.4,35.5
1/1/2004,27.2,2.4,34.8,35.6
4/1/2004,27.1,2.5,34.7,35.7
7/1/2004,27.4,2.5,34.3,35.8
10/1/2004,27.6,2.4,34.3,35.7
1/1/2005,27.7,2.3,34.1,35.9
4/1/2005,28,2.3,33.9,35.8
7/1/2005,28.1,2.3,33.7,35.9
10/1/2005,28.1,2.3,33.7,35.9
1/1/2006,28.8,2.3,32.7,36.2
4/1/2006,28.7,2.2,32.6,36.5
7/1/2006,28.8,2.2,32.5,36.5
10/1/2006,29,2.2,32.4,36.4
1/1/2007,29.3,2.2,31.5,37
4/1/2007,29.4,2.1,31.2,37.3
7/1/2007,29.5,1.9,31,37.6
10/1/2007,29.2,1.7,31.2,37.9
1/1/2008,29.1,1.6,31,38.3
4/1/2008,28.9,1.5,31,38.6
7/1/2008,28.6,1.1,31.3,39
10/1/2008,27.2,1.1,32.4,39.3
1/1/2009,26.9,1.2,31.8,40.1
4/1/2009,27.2,1,32,39.8
7/1/2009,28.1,0.7,31.4,39.8
10/1/2009,27.5,0.7,32.6,39.2
1/1/2010,28.2,0.6,31.7,39.5
4/1/2010,28.1,0.4,31.7,39.8
7/1/2010,28.4,0.5,31.2,39.9
10/1/2010,28.4,0.5,31.7,39.4
1/1/2011,29.1,0.4,31,39.5
4/1/2011,29.3,0.3,31.1,39.3
7/1/2011,29,0.4,31.2,39.4
10/1/2011,28.8,0.6,31.6,39
1/1/2012,29.4,0.6,30.9,39.1
4/1/2012,29.5,0.6,30.8,39.1
7/1/2012,29.6,0.7,30.9,38.8
10/1/2012,29.7,0.8,30.9,38.6
1/1/2013,30,0.7,30.7,38.6
4/1/2013,30,0.8,30.5,38.7
7/1/2013,29.9,0.9,30.7,38.5
10/1/2013,29.9,0.8,30.8,38.5
1/1/2014,30.4,0.8,30.3,38.5
4/1/2014,30.6,0.9,30.1,38.4
7/1/2014,30.6,1,29.8,38.6
10/1/2014,30.7,1,29.9,38.4
1/1/2015,31,1,29.5,38.5
4/1/2015,31.1,1,29.3,38.6
7/1/2015,30.9,1,29.4,38.7
10/1/2015,30.8,1.1,29.8,38.3
1/1/2016,31,1.2,29.5,38.3
4/1/2016,31.2,1.1,29.3,38.4
7/1/2016,31.1,1.2,29.2,38.5
10/1/2016,30.8,1.3,29.7,38.2
1/1/2017,31,1.3,29.5,38.2
4/1/2017,31,1.4,29.3,38.3
7/1/2017,30.9,1.4,29.3,38.4
10/1/2017,31,1.4,29.3,38.3
1/1/2018,31,1.5,29.2,38.3
4/1/2018,30.9,1.6,29,38.5
7/1/2018,31,1.6,29,38.4
10/1/2018,30.3,1.6,29.6,38.5
1/1/2019,30.7,1.6,29.2,38.5
4/1/2019,30.7,1.6,29,38.7
7/1/2019,30.5,1.7,29,38.8
10/1/2019,30.8,1.8,28.8,38.6
1/1/2020,29.7,1.8,29.9,38.6
4/1/2020,30.4,1.8,29.4,38.4
7/1/2020,30.8,1.8,29.2,38.2
10/1/2020,31.5,1.8,28.6,38.1
1/1/2021,31.9,1.9,28.5,37.7
4/1/2021,32.2,2.2,28,37.6
7/1/2021,32.1,2.5,27.9,37.5
